date,Equity,ReturnDaily,Abs(ReturnDaily),C2LeverageWght,RetDivLev,RetDivLevRoll180,LevSMA7,RetDivLevSMA7,RetDivLevSMA7_180,DB_LeverageWght180,DB_LeverageWghtSMA7180
2019-12-09,49944.46,0,0,0.99,,,,,,0,0
2019-12-10,50217.46,0.005466072,0.005466072,0.98,0.55776242,,Strategy:,126548162,,0,0
2019-12-11,51187.46,0.019315991,0.019315991,0.97,1.991339267,,,,,0,0
2019-12-12,52220.46,0.020180724,0.020180724,0.95,2.124286732,,,,,0,0
2019-12-13,52240.46,0.000382992,0.000382992,0.95,0.04031491,,,,,0,0
2019-12-14,52240.46,0,0,0.95,0,,,,,0,0
2019-12-15,52240.46,0,0,0.95,0,,0.962857143,0,,0,0
2019-12-16,52658.46,0.008001461,0.008001461,0.94,0.851219249,,0.955714286,0.837223117,,0,0
2019-12-17,53148.46,0.009305247,0.009305247,0.93,1.000564241,,0.948571429,0.980974881,,0,0
2019-12-18,53059.46,-0.001674555,0.001674555,0.93,0.180059638,,0.942857143,0.177604279,,0,0
2019-12-19,53497.46,0.00825489,0.00825489,0.92,0.89727064,,0.938571429,0.879516427,,0,0
2019-12-20,54044.46,0.010224785,0.010224785,0.91,1.123602693,,0.932857143,1.096071846,,0,0
2019-12-21,54044.46,0,0,0.91,0,,0.927142857,0,,0,0
2019-12-22,54044.46,0,0,0.91,0,,0.921428571,0,,0,0
2019-12-23,54105.46,0.0011287,0.0011287,0.91,0.124033004,,0.917142857,0.123067015,,0,0
2019-12-24,53828.46,-0.005119631,0.005119631,0.92,0.55648165,,0.915714286,0.559086088,,0,0
2019-12-25,53828.46,0,0,0.92,0,,0.914285714,0,,0,0
2019-12-26,54470.46,0.011926776,0.011926776,0.91,1.310634756,,0.912857143,1.306532613,,0,0
2019-12-27,54366.46,-0.001909292,0.001909292,0.91,0.20981228,,0.912857143,0.209155591,,0,0
2019-12-28,54366.46,0,0,0.91,0,,0.912857143,0,,0,0
2019-12-29,54366.46,0,0,0.91,0,,0.912857143,0,,0,0
2019-12-30,54084.46,-0.005187022,0.005187022,0.91,0.570002369,,0.912857143,0.568218324,,0,0
2019-12-31,54274.46,0.003513024,0.003513024,0.91,0.386046581,,0.911428571,0.385441493,,0,0
2020-01-01,54274.46,0,0,0.91,0,,0.91,0,,0,0
2020-01-02,55295.46,0.018811795,0.018811795,0.89,2.1136848,,0.907142857,2.07374115,,0,0
2020-01-03,54492.46,-0.014521988,0.014521988,0.91,1.595822844,,0.907142857,1.600849058,,0,0
2020-01-04,54492.46,0,0,0.91,0,,0.907142857,0,,0,0
2020-01-05,54492.46,0,0,0.91,0,,0.907142857,0,,0,0
2020-01-06,54104.46,-0.007120251,0.007120251,0.91,0.782445179,,0.907142857,0.784909574,,0,0
2020-01-07,54562.46,0.008465106,0.008465106,0.91,0.930231451,,0.907142857,0.933161314,,0,0
2020-01-08,55084.46,0.009567017,0.009567017,0.9,1.063001925,,0.905714286,1.056295288,,0,0
2020-01-09,55194.97,0.002006192,0.002006192,0.85,0.236022582,,0.9,0.222910216,,0,0
2020-01-10,55037.97,-0.002844462,0.002844462,0.73,0.389652342,,0.874285714,0.325346972,,0,0
2020-01-11,55037.97,0,0,0.73,0,,0.848571429,0,,0,0
2020-01-12,55037.97,0,0,0.73,0,,0.822857143,0,,0,0
2020-01-13,56043.97,0.01827829,0.01827829,0.72,2.538651448,,0.795714286,2.297092154,,0,0
2020-01-14,55772.97,-0.004835489,0.004835489,0.72,0.671595693,,0.768571429,0.629152843,,0,0
2020-01-15,55393.97,-0.006795406,0.006795406,0.73,0.930877596,,0.744285714,0.913010463,,0,0
2020-01-16,56172.97,0.014062903,0.014062903,0.72,1.953180905,,0.725714286,1.937801528,,0,0
2020-01-17,56493.97,0.005714492,0.005714492,0.71,0.804858059,,0.722857143,0.790542402,,0,0
2020-01-18,56493.97,0,0,0.71,0,,0.72,0,,0,0
2020-01-19,56493.97,0,0,0.71,0,,0.717142857,0,,0,0
2020-01-20,56493.97,0,0,0.71,0,,0.715714286,0,,0,0
2020-01-21,56453.97,-0.00070804,0.00070804,0.71,0.099723967,,0.714285714,0.099125623,,0,0
2020-01-22,56800.97,0.0061466,0.0061466,0.71,0.86571838,,0.711428571,0.863979989,,0,0
2020-01-23,57214.97,0.007288608,0.007288608,0.7,1.041229703,,0.708571429,1.028634183,,0,0
2020-01-24,56259.97,-0.016691436,0.016691436,0.72,2.318254976,,0.71,2.350906454,,0,0
2020-01-25,56259.97,0,0,0.72,0,,0.711428571,0,,0,0
2020-01-26,56259.97,0,0,0.72,0,,0.712857143,0,,0,0
2020-01-27,54704.97,-0.027639545,0.027639545,0.74,3.735073715,,0.717142857,3.854119889,,0,0
2020-01-28,55796.97,0.019961623,0.019961623,0.72,2.772447671,,0.718571429,2.777959495,,0,0
2020-01-29,55224.97,-0.010251453,0.010251453,0.73,1.404308592,,0.721428571,1.420993447,,0,0
2020-01-30,55699.97,0.008601182,0.008601182,0.72,1.194608566,,0.724285714,1.187539876,,0,0
2020-01-31,54113.97,-0.028473983,0.028473983,0.75,3.796531069,,0.728571429,3.908193748,,0,0
2020-02-01,54113.97,0,0,0.75,0,,0.732857143,0,,0,0
2020-02-02,54113.97,0,0,0.75,0,,0.737142857,0,,0,0
2020-02-03,55109.97,0.018405598,0.018405598,0.73,2.52131485,,0.735714286,2.501731822,,0,0
2020-02-04,56815.97,0.030956286,0.030956286,0.71,4.3600403,,0.734285714,4.215836633,,0,0
2020-02-05,57226.95,0.00723353,0.00723353,0.69,1.048337621,,0.728571429,0.992837394,,0,0
2020-02-06,57177.95,-0.00085624,0.00085624,0.69,0.124092744,,0.724285714,0.118218532,,0,0
2020-02-07,56503.95,-0.011787761,0.011787761,0.7,1.683965834,,0.717142857,1.643711671,,0,0
2020-02-08,56503.95,0,0,0.7,0,,0.71,0,,0,0
2020-02-09,56503.95,0,0,0.7,0,,0.702857143,0,,0,0
2020-02-10,57367.78,0.015287958,0.015287958,0.82,1.864385091,,0.715714286,2.136042,,0,0
2020-02-11,58105.78,0.012864364,0.012864364,0.81,1.588193078,,0.73,1.762241635,,0,0
2020-02-12,58896.78,0.013613104,0.013613104,0.79,1.723177665,,0.744285714,1.829015832,,0,0
2020-02-13,59294.78,0.006757585,0.006757585,0.79,0.855390513,,0.758571429,0.890830421,,0,0
2020-02-14,59408.78,0.001922598,0.001922598,0.79,0.243366781,,0.771428571,0.249225611,,0,0
2020-02-15,59408.78,0,0,0.79,0,,0.784285714,0,,0,0
2020-02-16,59408.78,0,0,0.79,0,,0.797142857,0,,0,0
2020-02-17,59408.78,0,0,0.79,0,,0.792857143,0,,0,0
2020-02-18,59733.78,0.005470572,0.005470572,0.78,0.701355366,,0.788571429,0.693731939,,0,0
2020-02-19,61351.78,0.027086851,0.027086851,0.76,3.564059345,,0.784285714,3.453696852,,0,0
2020-02-20,60059.96,-0.02105595,0.02105595,0.65,3.239376893,,0.764285714,2.754984086,,0,0
2020-02-21,60059.96,0,0,0,0,,0.651428571,0,,0,0
2020-02-22,60059.96,0,0,0,0,,0.538571429,0,,0,0
2020-02-23,60059.96,0,0,0,0,,0.425714286,0,,0,0
2020-02-24,60059.96,0,0,0,0,,0.312857143,0,,0,0
2020-02-25,60059.96,0,0,0,0,,0.201428571,0,,0,0
2020-02-26,60059.96,0,0,0,0,,0.092857143,0,,0,0
2020-02-27,60059.96,0,0,0,0,,0,0,,0,0
2020-02-28,60059.96,0,0,0,0,,0,0,,0,0
2020-02-29,60059.96,0,0,0,0,,0,0,,0,0
2020-03-01,60059.96,0,0,0,0,,0,0,,0,0
2020-03-02,60059.96,0,0,0,0,,0,0,,0,0
2020-03-03,60091.96,0.000532801,0.000532801,0,0,,0,0,,0,0
2020-03-04,60091.96,0,0,0,0,,0,0,,0,0
2020-03-05,60058.72,-0.000553152,0.000553152,0.26,0.212750847,,0.037142857,1.489255929,,0,0
2020-03-06,60859.48,0.013332951,0.013332951,0,0,,0.037142857,35.89640784,,0,0
2020-03-07,60859.48,0,0,0,0,,0.037142857,0,,0,0
2020-03-08,60859.48,0,0,0,0,,0.037142857,0,,0,0
2020-03-09,60859.48,0,0,0,0,,0.037142857,0,,0,0
2020-03-10,60859.48,0,0,0,0,,0.037142857,0,,0,0
2020-03-11,60859.48,0,0,0,0,,0.037142857,0,,0,0
2020-03-12,60859.48,0,0,0,0,,0,0,,0,0
2020-03-13,60859.48,0,0,0,0,,0,0,,0,0
2020-03-14,60859.48,0,0,0,0,,0,0,,0,0
2020-03-15,60859.48,0,0,0,0,,0,0,,0,0
2020-03-16,60859.48,0,0,0,0,,0,0,,0,0
2020-03-17,60859.48,0,0,0,0,,0,0,,0,0
2020-03-18,60859.48,0,0,0,0,,0,0,,0,0
2020-03-19,60644.68,-0.003529442,0.003529442,0.16,2.205901201,,0.022857143,15.4413084,,0,0
