"Date","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime"
"2020-04-13",25000,0,0,0
"2020-04-14",25000,0,0,0
"2020-04-15",25000,0,0,0
"2020-04-16",25000,0,0,0
"2020-04-17",25000,0,0,0
"2020-04-18",25000,0,0,0
"2020-04-19",25000,0,0,0
"2020-04-20",25000,0,0,0
"2020-04-21",24761,0.26,24913,6524
"2020-04-22",24891,0.26,24809,6524
"2020-04-23",25043.5,0.35,25087,8724
"2020-04-24",24984.5,0.35,24903,8724
"2020-04-25",24984.5,0.35,24903,8724
"2020-04-26",24984.5,0.35,24903,8724
"2020-04-27",25428.5,0.34,25347,8724
"2020-04-28",25239.5,0.35,25158,8724
"2020-04-29",25939.5,0.34,25858,8724
"2020-04-30",25713.5,0.34,25632,8724
"2020-05-01",25026.5,0.35,24945,8724
"2020-05-02",25026.5,0.35,24945,8724
"2020-05-03",25026.5,0.35,24945,8724
"2020-05-04",24713.5,0.35,24632,8724
"2020-05-05",24577.5,0.36,24496,8724
"2020-05-06",24460.5,0.36,24379,8724
"2020-05-07",24595.5,0.36,24514,8724
"2020-05-08",25338.5,0.35,25257,8724
"2020-05-09",25338.5,0.35,25257,8724
"2020-05-10",25338.5,0.35,25257,8724
"2020-05-11",25396.5,0.34,25315,8724
"2020-05-12",25112.5,0.35,25031,8724
"2020-05-13",24558.5,0.36,24395,8724
"2020-05-14",24814.5,0.35,24651,8724
"2020-05-15",24760.5,0.35,24597,8724
"2020-05-16",24760.5,0.35,24597,8724
"2020-05-17",24760.5,0.35,24597,8724
"2020-05-18",25392.5,0.35,25229,8724
"2020-05-19",24933.5,0.35,24770,8724
"2020-05-20",24793.5,0.35,24630,8724
"2020-05-21",24558.5,0.36,24395,8724
"2020-05-22",24298.5,0.36,24135,8724
"2020-05-23",24298.5,0.36,24135,8724
"2020-05-24",24298.5,0.36,24135,8724
"2020-05-25",24298.5,0.36,24135,8724
"2020-05-26",25001.5,0.35,24838,8724
"2020-05-27",24778.5,0.35,24615,8724
"2020-05-28",24246,0.53,24082,12824
"2020-05-29",24467,0.53,24303,12824
"2020-05-30",24467,0.53,24303,12824
"2020-05-31",24467,0.53,24303,12824
"2020-06-01",24353,0.53,24189,12824
"2020-06-02",24287,0.53,24123,12824
"2020-06-03",24883,0.52,24719,12824
"2020-06-04",25944,0.5,25780,12824
"2020-06-05",25937.5,0.31,25958,8054
"2020-06-06",25937.5,NA,NA,NA
"2020-06-07",25937.5,NA,NA,NA
"2020-06-08",26575.5,NA,NA,NA
"2020-06-09",26517.5,NA,NA,NA
"2020-06-10",26640.5,NA,NA,NA
"2020-06-11",26035.5,NA,NA,NA
"2020-06-12",26680.5,NA,NA,NA
"2020-06-13",26680.5,NA,NA,NA
"2020-06-14",26680.5,NA,NA,NA
"2020-06-15",28140.5,NA,NA,NA
"2020-06-16",27917.5,NA,NA,NA
"2020-06-17",27594.5,NA,NA,NA
"2020-06-18",30640.5,NA,NA,NA
"2020-06-19",29825.5,NA,NA,NA
"2020-06-20",29825.5,NA,NA,NA
"2020-06-21",29825.5,NA,NA,NA
"2020-06-22",28836.5,NA,NA,NA
"2020-06-23",28057.5,NA,NA,NA
"2020-06-24",28156.5,NA,NA,NA
"2020-06-25",28078.5,NA,NA,NA
"2020-06-26",27498.5,NA,NA,NA
"2020-06-27",27498.5,NA,NA,NA
"2020-06-28",27498.5,NA,NA,NA
"2020-06-29",28215.5,NA,NA,NA
"2020-06-30",28255.5,NA,NA,NA
"2020-07-01",28066.5,NA,NA,NA
"2020-07-02",27705.5,NA,NA,NA
"2020-07-03",27705.5,NA,NA,NA
"2020-07-04",27705.5,NA,NA,NA
"2020-07-05",27705.5,NA,NA,NA
"2020-07-06",27528.5,NA,NA,NA
"2020-07-07",28790.5,NA,NA,NA
"2020-07-08",28540.5,NA,NA,NA
"2020-07-09",28313.5,NA,NA,NA
"2020-07-10",28171.5,NA,NA,NA
"2020-07-11",28171.5,NA,NA,NA
"2020-07-12",28171.5,NA,NA,NA
"2020-07-13",28136.5,NA,NA,NA
"2020-07-14",28280.5,NA,NA,NA
"2020-07-15",28480.5,NA,NA,NA
"2020-07-16",28069.5,NA,NA,NA
"2020-07-17",27968.5,NA,NA,NA
"2020-07-18",27968.5,NA,NA,NA
"2020-07-19",27968.5,NA,NA,NA
"2020-07-20",28179.5,NA,NA,NA
"2020-07-21",28391,0.31,28001,8751
"2020-07-22",28729,0.31,28401,8751
"2020-07-23",28045,0.32,27717,8751
"2020-07-24",27653,0.32,27325,8751
"2020-07-25",27653,0.32,27325,8751
"2020-07-26",27653,0.32,27325,8751
"2020-07-27",27333,0.32,27005,8751
"2020-07-28",27253,0.33,26925,8751
"2020-07-29",26831,0.33,26503,8751
"2020-07-30",27287,0.32,26959,8751
"2020-07-31",27290.5,0.49,26731,13086
"2020-08-01",27290.5,0.49,26963,13086
"2020-08-02",27290.5,0.49,26963,13086
"2020-08-03",27601.5,0.48,27274,13086
"2020-08-04",27547.5,0.48,27220,13086
"2020-08-05",28618.5,0.46,28291,13086
"2020-08-06",30706.5,0.43,30379,13086
"2020-08-07",29615.5,0.45,29288,13086
"2020-08-08",29615.5,0.45,29288,13086
"2020-08-09",29615.5,0.45,29288,13086
"2020-08-10",30547.5,0.43,30220,13086
"2020-08-11",29342.5,0.45,28933,13086
"2020-08-12",29658.5,0.45,29249,13086
"2020-08-13",29461.5,0.45,29052,13086
"2020-08-14",28456.5,0.47,28047,13086
"2020-08-15",28456.5,0.47,28047,13086
"2020-08-16",28456.5,0.47,28047,13086
"2020-08-17",27778.5,0.48,27369,13086
"2020-08-18",28534.5,0.47,28125,13086
"2020-08-19",27716.5,0.48,27307,13086
"2020-08-20",26637.5,0.5,26228,13086
"2020-08-21",26116.5,0.51,25707,13086
"2020-08-22",26116.5,0.51,25707,13086
"2020-08-23",26116.5,0.51,25707,13086
"2020-08-24",25653.5,0.52,25244,13086
"2020-08-25",26819.5,0.5,26410,13086
"2020-08-26",26357.5,0.5,25948,13086
"2020-08-27",26168.5,0.51,25759,13086
"2020-08-28",27342.5,0.49,26933,13086
"2020-08-29",27342.5,0.49,26933,13086
"2020-08-30",27342.5,0.49,26933,13086
"2020-08-31",26984.5,0.49,26575,13086
"2020-09-01",26214.5,0.51,25805,13086
"2020-09-02",25771.5,0.52,25362,13086
"2020-09-03",25233.5,0.53,24824,13086
"2020-09-04",24576.5,0.54,24167,13086
"2020-09-05",24576.5,0.54,24167,13086
"2020-09-06",24576.5,0.54,24167,13086
"2020-09-07",24576.5,0.54,24167,13086
"2020-09-08",24576.5,0.54,24167,13086
"2020-09-09",23032.5,0.58,22623,13086
"2020-09-10",22694.5,0.59,22203,13086
"2020-09-11",22112.5,0.61,21621,13086
"2020-09-12",22112.5,0.61,21621,13086
"2020-09-13",22112.5,0.61,21621,13086
"2020-09-14",22264.5,0.6,21773,13086
"2020-09-15",22630,0.79,22350,17737
"2020-09-16",22625,NA,NA,NA
"2020-09-17",18110,NA,NA,NA
"2020-09-18",18288,NA,NA,NA
"2020-09-19",18288,NA,NA,NA
"2020-09-20",18288,NA,NA,NA
"2020-09-21",18330,NA,NA,NA
"2020-09-22",18414,NA,NA,NA
"2020-09-23",14141,NA,NA,NA
"2020-09-24",14380,NA,NA,NA
"2020-09-25",14156,NA,NA,NA
"2020-09-26",14156,NA,NA,NA
"2020-09-27",14156,NA,NA,NA
"2020-09-28",14277,NA,NA,NA
"2020-09-29",17755,NA,NA,NA
"2020-09-30",14384,NA,NA,NA
"2020-10-01",14468,NA,NA,NA
"2020-10-02",14520,NA,NA,NA
"2020-10-03",14520,NA,NA,NA
"2020-10-04",14520,NA,NA,NA
"2020-10-05",14753,NA,NA,NA
"2020-10-06",14966,NA,NA,NA
"2020-10-07",14916,NA,NA,NA
"2020-10-08",15001,NA,NA,NA
"2020-10-09",14765,NA,NA,NA
"2020-10-10",14765,NA,NA,NA
"2020-10-11",14765,NA,NA,NA
"2020-10-12",14896,NA,NA,NA
"2020-10-13",14983,NA,NA,NA
"2020-10-14",14788,NA,NA,NA
"2020-10-15",14742,NA,NA,NA
"2020-10-16",14683,NA,NA,NA
"2020-10-17",14683,NA,NA,NA
"2020-10-18",14683,NA,NA,NA
"2020-10-19",14664,NA,NA,NA
"2020-10-20",14613,NA,NA,NA
"2020-10-21",14496,NA,NA,NA
"2020-10-22",14458,NA,NA,NA
"2020-10-23",14502,NA,NA,NA
"2020-10-24",14502,NA,NA,NA
"2020-10-25",14502,NA,NA,NA
"2020-10-26",14502,NA,NA,NA
"2020-10-27",14502,NA,NA,NA
"2020-10-28",14502,NA,NA,NA
"2020-10-29",14502,NA,NA,NA
"2020-10-30",14502,NA,NA,NA
"2020-10-31",14292,NA,NA,NA
"2020-11-01",14292,NA,NA,NA
