"Index","EquityEOD","Leverage","EquityAtStartOfPeriod","SumValueOfPositionsAtTime","Lvrg_SMA7"
"2018-08-01",50426,14.01,49835,698336,0
"2018-08-02",50210,9.43,50089,472256,0
"2018-08-03",49260,9.61,49139,472256,0
"2018-08-04",49260,9.61,49139,472256,0
"2018-08-05",48530,9.76,48409,472256,0
"2018-08-06",48960,9.67,48839,472256,0
"2018-08-07",47250,10.02,47129,472256,10.3014285714286
"2018-08-08",48560,9.75,48439,472256,9.69285714285714
"2018-08-09",48970,9.67,48849,472256,9.72714285714286
"2018-08-10",53708,8.95,53587,479776,9.63285714285714
"2018-08-11",53708,8.95,53587,479776,9.53857142857143
"2018-08-12",55958,8.59,55837,479776,9.37142857142857
"2018-08-13",60984,9.81,59253,581392,9.39142857142857
"2018-08-14",60004,9.71,59883,581392,9.34714285714286
"2018-08-15",66869,8.71,66748,581392,9.19857142857143
"2018-08-16",64423,13.86,65402,906376,9.79714285714286
"2018-08-17",73325,9,73009,656768,9.80428571428572
"2018-08-18",73325,8.97,73204,656768,9.80714285714286
"2018-08-19",68170,9.65,68049,656768,9.95857142857143
"2018-08-20",68409,12,67898,814752,10.2714285714286
"2018-08-21",68373,12.41,65657,814752,10.6571428571429
"2018-08-22",70858,11.52,70737,814752,11.0585714285714
"2018-08-23",66831,12.85,65985,847648,10.9142857142857
"2018-08-24",62070,12.36,61949,765664,11.3942857142857
"2018-08-25",62070,12.36,61949,765664,11.8785714285714
"2018-08-26",61590,12.46,61469,765664,12.28
"2018-08-27",58102,13.86,59229,821056,12.5457142857143
"2018-08-28",60294,10.1,59111,597216,12.2157142857143
"2018-08-29",69974,9.94,64903,645216,11.99
"2018-08-30",72708,10.92,65837,718656,11.7142857142857
"2018-08-31",74950,9.62,74708,718656,11.3228571428571
"2018-09-01",74950,9.62,74708,718656,10.9314285714286
"2018-09-02",77000,9.36,76758,718656,10.4885714285714
"2018-09-03",76103,9.47,75861,718656,9.86142857142857
"2018-09-04",80051,7.68,79536,610656,9.51571428571429
"2018-09-05",76645,5.49,76403,419776,8.88
"2018-09-06",80575,5.23,80333,419776,8.06714285714286
"2018-09-07",80303,5.34,77536,414080,7.45571428571429
"2018-09-08",80303,5.17,80061,414080,6.82
"2018-09-09",78628,5.28,78386,414080,6.23714285714286
"2018-09-10",80303,5.17,80061,414080,5.62285714285714
"2018-09-11",77703,5.35,77461,414080,5.29
"2018-09-12",71003,5.85,70761,414080,5.34142857142857
"2018-09-13",66453,6.25,66211,414080,5.48714285714286
"2018-09-14",70378,5.9,70136,414080,5.56714285714286
"2018-09-15",70378,5.9,70136,414080,5.67142857142857
"2018-09-16",71003,5.85,70761,414080,5.75285714285714
"2018-09-17",69838,3.8,69771,264912,5.55714285714286
"2018-09-18",69838,0,0,0,4.79285714285714
"2018-09-19",69298,7.01,68306,479160,4.95857142857143
"2018-09-20",66448,7.24,66206,479160,5.1
"2018-09-21",67198,7.16,66956,479160,5.28
"2018-09-22",67198,7.16,66956,479160,5.46
"2018-09-23",68798,6.99,68556,479160,5.62285714285714
"2018-09-24",68998,6.97,68756,479160,6.07571428571429
"2018-09-25",66703,9.72,66461,645960,7.46428571428571
"2018-09-26",70443,9.2,70201,645960,7.77714285714286
"2018-09-27",71356,8.68,69138,600060,7.98285714285714
"2018-09-28",69090,8.05,68848,554160,8.11
"2018-09-29",69090,8.05,68848,554160,8.23714285714286
"2018-09-30",68606,8.12,68243,554160,8.39857142857143
"2018-10-01",68006,9.42,67045,631400,8.74857142857143
"2018-10-02",70296,9.03,69933,631400,8.65
"2018-10-03",71123,9,70410,633640,8.62142857142857
"2018-10-04",78640,8.09,78277,633640,8.53714285714286
"2018-10-05",88608,7.18,88245,633640,8.41285714285714
"2018-10-06",88608,7.18,88245,633640,8.28857142857143
"2018-10-07",88608,7.18,88245,633640,8.15428571428571
"2018-10-08",89433,8.61,89070,766520,8.03857142857143
"2018-10-09",97623,6.91,91335,631520,7.73571428571429
"2018-10-10",115290,7.67,105897,812280,7.54571428571429
"2018-10-11",102960,4.45,107503,478240,7.02571428571429
"2018-10-12",107648,3.02,107285,323800,6.43142857142857
"2018-10-13",107648,3.02,107285,323800,5.83714285714286
"2018-10-14",105303,3.09,104940,323800,5.25285714285714
"2018-10-15",109016,5.73,108047,619300,4.84142857142857
"2018-10-16",117528,4.97,114560,569780,4.56428571428571
"2018-10-17",113946,6.82,108763,741860,4.44285714285714
"2018-10-18",115568,6.07,115205,699560,4.67428571428571
"2018-10-19",109718,6.13,109355,670640,5.11857142857143
"2018-10-20",110156,6.11,109793,670640,5.56
"2018-10-21",105750,6.36,105387,670640,6.02714285714286
"2018-10-22",110478,6.82,109665,747880,6.18285714285714
"2018-10-23",98823,7.88,104650,825120,6.59857142857143
"2018-10-24",91343,5.96,92600,551480,6.47571428571429
"2018-10-25",91506,8.87,90460,802000,6.87571428571429
"2018-10-26",91038,9.51,90675,862000,7.35857142857143
"2018-10-27",91038,9.51,90675,862000,7.84428571428571
"2018-10-28",91783,9.43,91420,862000,8.28285714285714
"2018-10-29",91106,8.76,90743,794500,8.56
"2018-10-30",105588,7.93,102297,811680,8.56714285714286
"2018-10-31",106650,7.65,106166,811680,8.80857142857143
"2018-11-01",85120,8.18,85086,696160,8.71
"2018-11-02",82763,9.02,87619,790600,8.64
"2018-11-03",82763,6.79,82279,558920,8.25142857142857
"2018-11-04",84840,6.62,84389,558920,7.85
"2018-11-05",88873,6.92,88389,612040,7.58714285714286
"2018-11-06",82148,10.89,89146,970820,8.01
"2018-11-07",84148,9.23,81794,755080,8.23571428571429
"2018-11-08",91293,8.32,90809,755080,8.25571428571429
"2018-11-09",97668,7.77,97184,755080,8.07714285714286
"2018-11-10",97668,7.77,97184,755080,8.21714285714286
"2018-11-11",98800,8.26,98316,811780,8.45142857142857
"2018-11-12",101418,8.04,100934,811780,8.61142857142857
"2018-11-13",89988,9.69,89504,867360,8.44
"2018-11-14",87503,8.59,87019,747360,8.34857142857143
"2018-11-15",90796,8.9,88949,791900,8.43142857142857
"2018-11-16",87266,10.73,86729,930400,8.85428571428571
"2018-11-17",87266,10.72,86782,930400,9.27571428571428
"2018-11-18",89028,10.51,88544,930400,9.59714285714286
"2018-11-19",80848,12.37,76934,952000,10.2157142857143
"2018-11-20",73393,13.06,72909,952000,10.6971428571429
"2018-11-21",69118,13.87,68634,952000,11.4514285714286
"2018-11-22",61933,12.2,61449,749500,11.9228571428571
"2018-11-23",68323,8.35,65489,547000,11.5828571428571
"2018-11-24",68323,8.06,67839,547000,11.2028571428571
"2018-11-25",65510,8.41,65026,547000,10.9028571428571
"2018-11-26",68760,8.01,68276,547000,10.28
"2018-11-27",74040,7.44,73556,547000,9.47714285714286
"2018-11-28",64386,8.56,63902,547000,8.71857142857143
"2018-11-29",64640,6.43,63579,408500,7.89428571428571
"2018-11-30",70796,5.82,70191,408500,7.53285714285714
"2018-12-01",70796,5.82,70191,408500,7.21285714285714
"2018-12-02",66483,6.2,65878,408500,6.89714285714286
"2018-12-03",62420,6.61,61815,408500,6.69714285714286
"2018-12-04",62168,4.75,56843,270000,6.31285714285714
"2018-12-05",61856,2.2,61251,135000,5.40428571428571
"2018-12-06",62293,2.19,61688,135000,4.79857142857143
"2018-12-07",61139,1.47,59934,87856,4.17714285714286
"2018-12-08",61139,1.45,60534,87856,3.55285714285714
"2018-12-09",60094,1.48,59489,87856,2.87857142857143
"2018-12-10",60394,1.47,59789,87856,2.14428571428571
"2018-12-11",60804,1.46,60199,87856,1.67428571428571
"2018-12-12",59781,3.31,59176,195856,1.83285714285714
"2018-12-13",59271,3.34,58666,195856,1.99714285714286
"2018-12-14",61061,3.24,60456,195856,2.25
"2018-12-15",61061,3.24,60456,195856,2.50571428571429
"2018-12-16",61851,3.2,61246,195856,2.75142857142857
"2018-12-17",59832,3.31,59227,195856,3.01428571428571
"2018-12-18",60172,3.29,59567,195856,3.27571428571429
"2018-12-19",62186,4.07,59866,243856,3.38428571428571
"2018-12-20",60136,2.28,59531,135856,3.23285714285714
"2018-12-21",60210,3.46,59605,206272,3.26428571428571
"2018-12-22",60210,3.46,59605,206272,3.29571428571429
"2018-12-23",59643,3.49,59038,206272,3.33714285714286
"2018-12-24",56980,3.66,56375,206272,3.38714285714286
"2018-12-25",56980,3.66,56375,206272,3.44
"2018-12-26",57685,3.61,57080,206272,3.37428571428571
"2018-12-27",60151,9.77,58601,572768,4.44428571428571
"2018-12-28",58384,9.91,57779,572768,5.36571428571429
"2018-12-29",58384,9.91,57779,572768,6.28714285714286
"2018-12-30",58764,9.87,58038,572768,7.19857142857143
"2018-12-31",58103,9.15,57377,524768,7.98285714285714
"2019-01-01",58103,9.15,57377,524768,8.76714285714286
"2019-01-02",72430,5.43,66869,362768,9.02714285714286
